epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.4209,0.91755,13.8676,1.11212,0.59752,0.42026,0.44536,0.3802,0.64706,9.86895,0.94637,0.00027,0.00027,0.00027
2,12.1519,0.71692,2.08446,1.00729,0.91595,0.82252,0.91081,0.77989,0.60056,0.91677,0.93806,0.000544555,0.000544555,0.000544555
3,17.9528,0.76887,1.26678,1.03269,0.67973,0.64072,0.69154,0.54552,0.69241,1.59814,1.00991,0.000813566,0.000813566,0.000813566
4,23.6473,0.82833,1.16062,1.08693,0.88997,0.61058,0.72434,0.58079,0.75861,1.37728,1.00613,0.0009703,0.0009703,0.0009703
5,29.3688,0.87293,1.0097,1.10044,0.59741,0.44807,0.4758,0.34534,0.85316,2.50441,1.11295,0.0009604,0.0009604,0.0009604
6,35.0671,0.79028,0.98292,1.04693,0.93576,0.82468,0.90034,0.76204,0.64059,0.95561,1.06006,0.0009505,0.0009505,0.0009505
7,40.7576,0.80234,0.85789,1.08414,0.94658,0.79245,0.82455,0.68994,0.76023,2.37086,1.09508,0.0009406,0.0009406,0.0009406
8,46.4536,0.80548,0.7895,1.09298,0.91511,0.75472,0.87636,0.67262,0.81228,1.15634,1.0756,0.0009307,0.0009307,0.0009307
9,52.1525,0.85404,0.8455,1.13921,0.85386,0.86792,0.91101,0.74172,0.65515,1.43175,1.02893,0.0009208,0.0009208,0.0009208
10,57.8917,0.84353,0.76118,1.10098,0.85757,0.81132,0.89393,0.74251,0.65351,0.94615,0.99785,0.0009109,0.0009109,0.0009109
11,63.5863,0.7853,0.70899,1.06552,0.97919,0.90566,0.95173,0.80883,0.62345,0.61152,0.96172,0.000901,0.000901,0.000901
12,69.3466,0.75929,0.68102,1.08896,1,0.90228,0.96047,0.83184,0.63303,0.46939,0.97389,0.0008911,0.0008911,0.0008911
13,75.116,0.79634,0.70611,1.11716,0.95142,0.88679,0.92786,0.77161,0.73259,0.71711,1.0463,0.0008812,0.0008812,0.0008812
14,80.8179,0.7291,0.68677,1.06041,0.95996,0.90479,0.94819,0.82454,0.58853,0.55559,0.94877,0.0008713,0.0008713,0.0008713
15,86.528,0.83678,0.75383,1.11188,1,0.88576,0.94546,0.80844,0.62325,0.61032,0.98361,0.0008614,0.0008614,0.0008614
16,92.2458,0.76801,0.71812,1.05769,0.97953,0.90276,0.94176,0.83548,0.5702,0.555,0.93351,0.0008515,0.0008515,0.0008515
17,98.0242,0.71326,0.6465,1.04622,1,0.90334,0.95732,0.82472,0.61803,0.49943,0.97366,0.0008416,0.0008416,0.0008416
18,103.744,0.69066,0.59773,1.0274,0.96869,0.92453,0.95741,0.81591,0.68963,0.50362,1.01862,0.0008317,0.0008317,0.0008317
19,109.461,0.75828,0.5935,1.06784,0.99358,0.88679,0.95967,0.79519,0.69924,0.54648,1.02531,0.0008218,0.0008218,0.0008218
20,115.171,0.74622,0.64103,1.08316,0.99738,0.9434,0.96469,0.8387,0.57869,0.4864,0.95289,0.0008119,0.0008119,0.0008119
21,120.967,0.71783,0.58218,1.02944,0.97999,0.92393,0.95942,0.85565,0.57164,0.51262,0.94061,0.000802,0.000802,0.000802
22,126.748,0.73409,0.59129,1.03759,0.96136,0.96226,0.96473,0.84553,0.5777,0.52922,0.94853,0.0007921,0.0007921,0.0007921
23,132.464,0.6827,0.53625,1.00667,1,0.9431,0.96288,0.84922,0.54467,0.46031,0.92148,0.0007822,0.0007822,0.0007822
