epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.112,1.23668,2.59065,2.24963,0.81195,0.85395,0.87877,0.66419,0.95183,0.96127,2.00623,0.000277307,0.000277307,0.000277307
2,101.879,1.18192,1.33005,2.12175,0.91737,0.89788,0.95683,0.74161,0.92472,0.78426,1.97001,0.00054948,0.00054948,0.00054948
3,151.71,1.18189,1.18716,2.15005,0.92358,0.91653,0.97254,0.76684,0.92449,0.71776,1.98875,0.000816155,0.000816155,0.000816155
4,201.437,1.18043,1.11099,2.15359,0.94908,0.90493,0.96044,0.75364,0.92535,0.66742,1.97046,0.00080826,0.00080826,0.00080826
5,251.017,1.16759,1.0675,2.14565,0.94961,0.92201,0.97752,0.76287,0.93281,0.64951,1.90433,0.000800013,0.000800013,0.000800013
6,300.884,1.16642,1.06085,2.1134,0.95633,0.91629,0.96436,0.77845,0.88632,0.62457,1.88052,0.000791767,0.000791767,0.000791767
7,350.74,1.16122,1.00735,2.15734,0.9658,0.93969,0.97094,0.75523,0.90285,0.60576,1.88884,0.00078352,0.00078352,0.00078352
8,400.448,1.11172,0.95311,2.1068,0.97393,0.94941,0.97908,0.79862,0.85861,0.56662,1.81379,0.000775273,0.000775273,0.000775273
9,450.279,1.09108,0.93824,2.06813,0.97663,0.96216,0.98023,0.79847,0.86484,0.54595,1.79623,0.000767026,0.000767026,0.000767026
10,499.979,1.05971,0.88682,2.03342,0.98519,0.96173,0.99014,0.81297,0.83054,0.53064,1.78037,0.00075878,0.00075878,0.00075878
11,549.789,1.07009,0.8589,2.06022,0.98328,0.9493,0.98502,0.82386,0.79941,0.53665,1.71355,0.000750533,0.000750533,0.000750533
12,599.656,1.04441,0.85688,2.00166,0.98434,0.95833,0.98658,0.81868,0.80568,0.54866,1.7557,0.000742286,0.000742286,0.000742286
13,649.244,1.04102,0.89235,2.03997,0.9722,0.95231,0.98358,0.8098,0.80301,0.53839,1.81097,0.00073404,0.00073404,0.00073404
14,698.907,1.05136,0.85189,2.03189,0.97617,0.95892,0.98547,0.82282,0.76715,0.51151,1.66347,0.000725793,0.000725793,0.000725793
15,748.579,1.05105,0.81835,2.06071,0.98747,0.95,0.98479,0.82133,0.7731,0.53813,1.74295,0.000717546,0.000717546,0.000717546
