epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.19109,1.26631,3.61261,2.04739,0.37599,0.50272,0.28733,0.20831,1.02017,2.37709,1.86174,0.00023,0.00023,0.00023
2,11.5989,1.03519,2.45995,1.78099,0.41902,0.69799,0.53054,0.40723,0.96657,1.75169,1.8794,0.000460694,0.000460694,0.000460694
3,17.0918,1.02166,1.77182,1.71232,0.74241,0.77055,0.8214,0.6285,0.98195,1.27382,1.6234,0.000681884,0.000681884,0.000681884
4,22.5488,1.02103,1.40252,1.66386,0.88197,0.81306,0.91101,0.70655,0.93466,0.9538,1.73092,0.00089357,0.00089357,0.00089357
5,28.007,1.0125,1.18555,1.67811,0.93185,0.88449,0.94519,0.7331,0.8857,0.89853,1.71916,0.0009208,0.0009208,0.0009208
6,33.4373,0.97685,1.09181,1.71752,0.89032,0.92871,0.95676,0.75402,0.81599,0.82108,1.53681,0.000901,0.000901,0.000901
7,38.891,0.9308,0.98032,1.71212,0.95345,0.91292,0.97825,0.78368,0.8254,0.69318,1.7287,0.0008812,0.0008812,0.0008812
8,44.3475,0.94684,0.92757,1.73156,0.94528,0.92164,0.97275,0.77109,0.83983,0.61454,1.68813,0.0008614,0.0008614,0.0008614
9,49.726,0.91104,0.86939,1.71555,0.93039,0.93033,0.98074,0.80369,0.80384,0.60407,1.65939,0.0008416,0.0008416,0.0008416
10,55.1394,0.88909,0.83415,1.70376,0.97583,0.94757,0.98531,0.81166,0.76224,0.56361,1.62689,0.0008218,0.0008218,0.0008218
11,60.6172,0.86674,0.79071,1.65834,0.96749,0.95363,0.98305,0.80759,0.77954,0.63787,1.65467,0.000802,0.000802,0.000802
12,65.9745,0.86278,0.79577,1.62647,0.96032,0.9519,0.97906,0.80626,0.81022,0.61988,1.6585,0.0007822,0.0007822,0.0007822
