epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.0369,0.73273,1.49988,1.11306,0.72896,0.63603,0.78252,0.64947,0.56145,1.0001,0.94409,0.000369708,0.000369708,0.000369708
2,63.5075,0.69054,0.88965,1.07055,0.81188,0.90427,0.91523,0.77373,0.56922,0.64116,0.94299,0.000732715,0.000732715,0.000732715
3,93.6677,0.68614,0.75621,1.06653,0.73012,0.88178,0.91081,0.758,0.58636,0.68257,0.95254,0.00108839,0.00108839,0.00108839
4,123.586,0.66746,0.6664,1.05332,0.84296,0.91706,0.94822,0.82097,0.52961,0.50938,0.92869,0.001078,0.001078,0.001078
5,153.507,0.65375,0.62615,1.04668,0.91877,0.91209,0.96381,0.84804,0.51655,0.46243,0.91292,0.001067,0.001067,0.001067
6,183.541,0.63489,0.57171,1.03613,0.91545,0.8849,0.95917,0.85022,0.50176,0.41533,0.90713,0.00105601,0.00105601,0.00105601
7,213.413,0.62726,0.56218,1.032,0.92678,0.95387,0.97767,0.8729,0.48877,0.39188,0.91196,0.00104501,0.00104501,0.00104501
8,243.166,0.61547,0.52956,1.02462,0.92444,0.91328,0.97113,0.85397,0.52181,0.41733,0.91847,0.00103401,0.00103401,0.00103401
9,273.049,0.61025,0.52798,1.02099,0.87155,0.94981,0.97389,0.87053,0.4908,0.41604,0.90312,0.00102301,0.00102301,0.00102301
10,302.679,0.60277,0.49579,1.01834,0.93855,0.96735,0.98131,0.87051,0.47988,0.36229,0.8976,0.00101201,0.00101201,0.00101201
11,332.552,0.59895,0.49156,1.01733,0.94128,0.96193,0.98316,0.89352,0.47756,0.37692,0.89631,0.00100101,0.00100101,0.00100101
12,362.299,0.59317,0.48485,1.01653,0.94214,0.96186,0.97996,0.87878,0.48219,0.3342,0.89805,0.000990012,0.000990012,0.000990012
13,392.333,0.59188,0.47873,1.01327,0.9505,0.9562,0.98359,0.87715,0.50549,0.34983,0.90245,0.000979013,0.000979013,0.000979013
14,422.462,0.582,0.45818,1.00542,0.95675,0.96261,0.98518,0.88633,0.47481,0.34152,0.89058,0.000968014,0.000968014,0.000968014
15,452.493,0.58183,0.45944,1.00692,0.93191,0.9589,0.98108,0.89351,0.46048,0.32454,0.88231,0.000957015,0.000957015,0.000957015
16,482.52,0.5724,0.44838,1.00076,0.94545,0.95476,0.98624,0.89993,0.46278,0.31932,0.88274,0.000946016,0.000946016,0.000946016
17,512.647,0.57018,0.43752,0.99996,0.95259,0.95278,0.98447,0.89946,0.45148,0.34972,0.87551,0.000935018,0.000935018,0.000935018
18,542.578,0.57283,0.43778,0.99996,0.95728,0.95463,0.98384,0.89872,0.4547,0.31345,0.8799,0.000924019,0.000924019,0.000924019
19,572.698,0.56373,0.42877,0.99528,0.93002,0.96237,0.97775,0.88803,0.45992,0.33129,0.88649,0.00091302,0.00091302,0.00091302
20,602.822,0.5547,0.42267,0.98789,0.93163,0.96317,0.98616,0.90154,0.44657,0.32406,0.87719,0.000902021,0.000902021,0.000902021
21,633.05,0.55729,0.42202,0.99459,0.95801,0.96004,0.9859,0.90127,0.45073,0.30657,0.88207,0.000891022,0.000891022,0.000891022
22,663.301,0.55736,0.41855,0.99345,0.97075,0.95361,0.98885,0.90778,0.44686,0.29861,0.8804,0.000880023,0.000880023,0.000880023
23,693.287,0.55214,0.41412,0.98966,0.96758,0.95712,0.98789,0.9059,0.4478,0.31075,0.87744,0.000869024,0.000869024,0.000869024
24,723.19,0.54797,0.40786,0.98688,0.93161,0.97689,0.98461,0.89673,0.45214,0.31831,0.87831,0.000858025,0.000858025,0.000858025
25,753.028,0.54717,0.40359,0.98956,0.96316,0.96497,0.98996,0.89544,0.44873,0.31117,0.87995,0.000847026,0.000847026,0.000847026
26,782.882,0.54922,0.40612,0.99345,0.96175,0.96451,0.98853,0.89918,0.45388,0.30659,0.88407,0.000836027,0.000836027,0.000836027
27,812.678,0.54239,0.40072,0.98593,0.95899,0.96179,0.98825,0.90646,0.43991,0.3057,0.87671,0.000825029,0.000825029,0.000825029
28,842.803,0.53981,0.39262,0.98481,0.94313,0.96367,0.98461,0.90084,0.44458,0.30428,0.87539,0.00081403,0.00081403,0.00081403
29,872.881,0.53829,0.38841,0.98719,0.95585,0.9577,0.98793,0.91169,0.44797,0.31222,0.87743,0.000803031,0.000803031,0.000803031
30,902.694,0.53171,0.38588,0.98183,0.9577,0.96551,0.98885,0.91179,0.4414,0.29452,0.87709,0.000792032,0.000792032,0.000792032
31,932.559,0.53248,0.38664,0.9851,0.96954,0.95596,0.99005,0.9068,0.44459,0.28388,0.88077,0.000781033,0.000781033,0.000781033
32,962.395,0.53473,0.38939,0.9837,0.95746,0.97363,0.9854,0.90862,0.43794,0.29674,0.87301,0.000770034,0.000770034,0.000770034
33,992.225,0.52616,0.3793,0.97975,0.95097,0.96937,0.98646,0.90786,0.4443,0.31068,0.87624,0.000759035,0.000759035,0.000759035
34,1022.03,0.52665,0.3737,0.98032,0.95825,0.9681,0.9894,0.91078,0.43731,0.29657,0.86715,0.000748036,0.000748036,0.000748036
35,1051.9,0.52701,0.37087,0.97859,0.97321,0.96798,0.99065,0.91242,0.43644,0.27832,0.877,0.000737037,0.000737037,0.000737037
36,1081.87,0.52229,0.36858,0.97528,0.97485,0.97166,0.9911,0.91364,0.4389,0.27609,0.87363,0.000726038,0.000726038,0.000726038
37,1111.91,0.51822,0.36923,0.97424,0.97821,0.95901,0.99105,0.9169,0.43745,0.28534,0.87427,0.00071504,0.00071504,0.00071504
38,1142.19,0.51614,0.36432,0.97523,0.97884,0.96946,0.99039,0.91448,0.43479,0.27194,0.87125,0.000704041,0.000704041,0.000704041
39,1172.08,0.51776,0.36088,0.97218,0.95929,0.95578,0.98842,0.91126,0.43469,0.28592,0.8694,0.000693042,0.000693042,0.000693042
40,1201.89,0.51689,0.35936,0.9734,0.9663,0.96057,0.98778,0.91337,0.43997,0.29406,0.8719,0.000682043,0.000682043,0.000682043
41,1232.02,0.51565,0.35716,0.96974,0.96008,0.97018,0.98975,0.91503,0.43467,0.2673,0.87167,0.000671044,0.000671044,0.000671044
42,1262.16,0.51143,0.3603,0.97189,0.97099,0.96588,0.99049,0.91522,0.43221,0.27368,0.86931,0.000660045,0.000660045,0.000660045
43,1292.5,0.50958,0.35216,0.96914,0.94412,0.97341,0.98736,0.91013,0.43731,0.29441,0.87077,0.000649046,0.000649046,0.000649046
44,1322.52,0.50593,0.3539,0.96835,0.97592,0.95438,0.98937,0.91543,0.43029,0.26978,0.86962,0.000638047,0.000638047,0.000638047
45,1352.75,0.50933,0.35335,0.97152,0.96413,0.97321,0.98932,0.91757,0.4303,0.27729,0.86982,0.000627048,0.000627048,0.000627048
46,1383.03,0.50452,0.34881,0.96424,0.95994,0.95967,0.99041,0.91727,0.4352,0.27098,0.87349,0.000616049,0.000616049,0.000616049
47,1413.32,0.50139,0.34068,0.96554,0.97779,0.95666,0.98943,0.91596,0.43033,0.26297,0.86653,0.000605051,0.000605051,0.000605051
48,1444.2,0.49626,0.34222,0.96398,0.9633,0.97372,0.99021,0.91601,0.42708,0.26475,0.86935,0.000594052,0.000594052,0.000594052
49,1474.56,0.4999,0.34025,0.96954,0.96908,0.96356,0.99067,0.91699,0.43119,0.26828,0.87074,0.000583053,0.000583053,0.000583053
50,1505.17,0.50081,0.33861,0.96518,0.96801,0.95728,0.99088,0.92408,0.42089,0.26231,0.86361,0.000572054,0.000572054,0.000572054
51,1535.56,0.49717,0.33723,0.9649,0.97833,0.96659,0.99023,0.91618,0.43633,0.25851,0.87109,0.000561055,0.000561055,0.000561055
52,1565.47,0.49657,0.33689,0.96333,0.97268,0.96515,0.99019,0.91942,0.4275,0.2671,0.86828,0.000550056,0.000550056,0.000550056
53,1595.5,0.49209,0.32774,0.95947,0.97284,0.96819,0.99009,0.91963,0.42763,0.25321,0.86943,0.000539057,0.000539057,0.000539057
54,1625.5,0.49636,0.33262,0.96464,0.9794,0.96398,0.98993,0.92357,0.42133,0.25916,0.86562,0.000528058,0.000528058,0.000528058
55,1655.65,0.49489,0.33322,0.96382,0.96062,0.98167,0.98956,0.91983,0.42934,0.25703,0.86795,0.000517059,0.000517059,0.000517059
56,1685.9,0.48623,0.32759,0.96109,0.96112,0.97782,0.99063,0.9221,0.4295,0.2487,0.86818,0.00050606,0.00050606,0.00050606
57,1716.06,0.4881,0.32744,0.96076,0.97536,0.96137,0.99042,0.91576,0.42876,0.25251,0.86999,0.000495062,0.000495062,0.000495062
58,1746.53,0.48336,0.32373,0.95641,0.97782,0.95718,0.9906,0.92199,0.42711,0.25753,0.86756,0.000484063,0.000484063,0.000484063
59,1776.92,0.48569,0.32356,0.96007,0.96232,0.97147,0.99094,0.92086,0.42423,0.2537,0.8688,0.000473064,0.000473064,0.000473064
60,1806.89,0.48476,0.31728,0.95554,0.971,0.9734,0.99192,0.92474,0.42043,0.24011,0.86358,0.000462065,0.000462065,0.000462065
61,1837.18,0.47801,0.31695,0.95483,0.96417,0.96739,0.98935,0.91966,0.42721,0.25238,0.86677,0.000451066,0.000451066,0.000451066
62,1867.69,0.47416,0.31151,0.95293,0.97141,0.96683,0.99129,0.92377,0.42193,0.24737,0.86573,0.000440067,0.000440067,0.000440067
63,1898.05,0.47961,0.31496,0.95584,0.97244,0.96253,0.99051,0.92229,0.42124,0.24761,0.86644,0.000429068,0.000429068,0.000429068
64,1928.2,0.47909,0.31629,0.95589,0.98142,0.96178,0.99022,0.9233,0.41937,0.25995,0.86708,0.000418069,0.000418069,0.000418069
65,1958.68,0.47591,0.31364,0.95356,0.97976,0.9649,0.99065,0.92435,0.41955,0.25257,0.86483,0.00040707,0.00040707,0.00040707
66,1989.76,0.4745,0.31013,0.9525,0.97431,0.96699,0.99039,0.92279,0.42033,0.24704,0.86638,0.000396071,0.000396071,0.000396071
67,2020.27,0.47052,0.30837,0.94978,0.97039,0.97097,0.98991,0.92273,0.41841,0.24768,0.86486,0.000385073,0.000385073,0.000385073
68,2050.89,0.47126,0.30584,0.95266,0.97851,0.96227,0.99045,0.92493,0.42268,0.23972,0.86784,0.000374074,0.000374074,0.000374074
69,2081.03,0.47165,0.30399,0.95229,0.97559,0.96947,0.98971,0.92291,0.41912,0.24739,0.86606,0.000363075,0.000363075,0.000363075
70,2111.41,0.46888,0.30691,0.95072,0.96982,0.97675,0.9905,0.92402,0.41755,0.24257,0.86667,0.000352076,0.000352076,0.000352076
71,2141.88,0.46543,0.29555,0.94689,0.97532,0.97653,0.99014,0.92605,0.42121,0.24282,0.86644,0.000341077,0.000341077,0.000341077
72,2171.94,0.46095,0.29672,0.94807,0.97604,0.96639,0.99053,0.9251,0.41978,0.23859,0.86488,0.000330078,0.000330078,0.000330078
73,2202.22,0.46519,0.29993,0.95198,0.9739,0.96515,0.98967,0.92251,0.41833,0.2439,0.86549,0.000319079,0.000319079,0.000319079
74,2232.15,0.46415,0.29459,0.94747,0.96638,0.97408,0.99024,0.92584,0.41422,0.24233,0.86226,0.00030808,0.00030808,0.00030808
75,2262.47,0.46073,0.29483,0.94606,0.96752,0.97879,0.99108,0.92472,0.41716,0.23638,0.8644,0.000297081,0.000297081,0.000297081
76,2292.59,0.45959,0.29771,0.9472,0.97131,0.96953,0.99102,0.92704,0.41666,0.23976,0.86415,0.000286083,0.000286083,0.000286083
77,2322.59,0.46159,0.29279,0.94656,0.96974,0.97495,0.99032,0.92331,0.41821,0.23302,0.86564,0.000275084,0.000275084,0.000275084
78,2352.7,0.45218,0.28668,0.94581,0.98034,0.95504,0.98949,0.92535,0.41739,0.2341,0.8631,0.000264085,0.000264085,0.000264085
79,2382.84,0.45833,0.28782,0.94711,0.97913,0.965,0.99013,0.92786,0.41767,0.2384,0.86348,0.000253086,0.000253086,0.000253086
80,2413.01,0.45303,0.2828,0.94183,0.97877,0.96586,0.98958,0.92644,0.41655,0.23552,0.86392,0.000242087,0.000242087,0.000242087
81,2443.11,0.45485,0.28377,0.94445,0.98185,0.9682,0.98979,0.92342,0.41797,0.23673,0.8655,0.000231088,0.000231088,0.000231088
82,2473.19,0.44851,0.28265,0.94213,0.97522,0.97567,0.99061,0.92467,0.41779,0.23176,0.86535,0.000220089,0.000220089,0.000220089
83,2503.3,0.45277,0.28234,0.94176,0.98721,0.96679,0.99072,0.92774,0.41794,0.22529,0.86331,0.00020909,0.00020909,0.00020909
84,2533.5,0.44871,0.27998,0.94219,0.97978,0.967,0.99027,0.92858,0.41449,0.22691,0.86138,0.000198091,0.000198091,0.000198091
85,2563.86,0.4467,0.2785,0.94031,0.98377,0.96625,0.9901,0.92834,0.4163,0.22789,0.86266,0.000187092,0.000187092,0.000187092
86,2594.04,0.4478,0.2804,0.94465,0.98076,0.96294,0.99029,0.92738,0.41588,0.23099,0.86373,0.000176094,0.000176094,0.000176094
87,2624.08,0.44149,0.27648,0.93694,0.98706,0.96406,0.98978,0.92523,0.417,0.2327,0.86536,0.000165095,0.000165095,0.000165095
88,2654.02,0.44479,0.27476,0.93904,0.98336,0.96706,0.99011,0.92595,0.41583,0.23462,0.86453,0.000154096,0.000154096,0.000154096
89,2684.05,0.441,0.27042,0.93602,0.98366,0.96905,0.99042,0.92766,0.41656,0.22998,0.86381,0.000143097,0.000143097,0.000143097
90,2713.96,0.43965,0.27158,0.93649,0.98224,0.96714,0.98981,0.92803,0.41826,0.22934,0.86411,0.000132098,0.000132098,0.000132098
91,2744.15,0.38156,0.20927,0.90322,0.97318,0.9686,0.9907,0.92751,0.41594,0.23033,0.86354,0.000121099,0.000121099,0.000121099
92,2773.72,0.37686,0.20493,0.89936,0.97252,0.97237,0.99029,0.92539,0.41646,0.22643,0.86347,0.0001101,0.0001101,0.0001101
93,2803.34,0.37486,0.20006,0.89927,0.97687,0.96687,0.98947,0.9275,0.4156,0.22423,0.86379,9.91012e-05,9.91012e-05,9.91012e-05
94,2833,0.37392,0.19925,0.9031,0.97573,0.96992,0.98918,0.92883,0.41683,0.22481,0.86347,8.81023e-05,8.81023e-05,8.81023e-05
95,2862.65,0.3694,0.19608,0.90065,0.98242,0.96708,0.98932,0.9279,0.41441,0.22444,0.86192,7.71034e-05,7.71034e-05,7.71034e-05
96,2892.18,0.3668,0.19406,0.89235,0.97916,0.96865,0.98888,0.9269,0.415,0.22576,0.86334,6.61045e-05,6.61045e-05,6.61045e-05
97,2921.89,0.36779,0.19533,0.89669,0.97485,0.96926,0.98837,0.92636,0.41713,0.2275,0.86474,5.51056e-05,5.51056e-05,5.51056e-05
98,2951.41,0.36738,0.19372,0.89808,0.97935,0.96903,0.98895,0.92702,0.41701,0.22551,0.86448,4.41067e-05,4.41067e-05,4.41067e-05
99,2981.12,0.36544,0.19167,0.89495,0.97424,0.96878,0.98913,0.92753,0.41586,0.22486,0.86298,3.31078e-05,3.31078e-05,3.31078e-05
100,3010.97,0.36304,0.1891,0.89612,0.97508,0.96961,0.98961,0.92942,0.41625,0.22601,0.86282,2.21089e-05,2.21089e-05,2.21089e-05
